iter	RMSE
0	0.1916988915
1	0.1890792351
2	0.1868777504
3	0.1853405547
4	0.183575083
5	0.1817344162
6	0.1809531752
7	0.1795649815
8	0.1783779615
9	0.1765668061
10	0.1759068087
11	0.1750865548
12	0.174686098
13	0.1738369869
14	0.1726074561
15	0.1718556572
16	0.1706853755
17	0.1700417832
18	0.1690142259
19	0.1682808536
20	0.1673206601
21	0.1667109588
22	0.1657279213
23	0.1649671085
24	0.1648159397
25	0.1642849928
26	0.1635301917
27	0.1628388807
28	0.1624606869
29	0.1620431391
30	0.1615877297
31	0.1607735945
32	0.1601384099
33	0.1594129034
34	0.1593419382
35	0.1588120041
36	0.1586779892
37	0.1578926482
38	0.157839709
39	0.1571103136
40	0.1563639929
41	0.1556933794
42	0.1556896129
43	0.1551466906
44	0.1546328293
45	0.1543488842
46	0.1540602999
47	0.153745233
48	0.1534723364
49	0.1532417596
50	0.1524862093
51	0.1522128015
52	0.1520565012
53	0.1519413119
54	0.1516052567
55	0.1511046471
56	0.1506691565
57	0.1504119909
58	0.1498243781
59	0.149369031
60	0.1492039914
61	0.1487521135
62	0.1478442777
63	0.1476701943
64	0.1472339693
65	0.146827447
66	0.1462683418
67	0.1456981753
68	0.1456796402
69	0.1454463715
70	0.1451705995
71	0.1448538195
72	0.1442470773
73	0.1439428525
74	0.1433859988
75	0.1430169063
76	0.1427006321
77	0.1422370597
78	0.1419156554
79	0.1414428046
80	0.1411215935
81	0.140749827
82	0.1404327059
83	0.1402929182
84	0.1399849178
85	0.1397547914
86	0.1393611445
87	0.1390489133
88	0.1389082036
89	0.1386558972
90	0.1383002932
91	0.1379665706
92	0.1373947692
93	0.1369917113
94	0.1367948808
95	0.1366152717
96	0.1361260954
97	0.1358465593
98	0.1356087647
99	0.1353689907
