iter	Passed	Remaining
0	58	5750
1	60	2946
2	61	1988
3	61	1485
4	63	1201
5	64	1010
6	64	861
7	66	759
8	67	680
9	68	619
10	69	561
11	70	515
12	70	472
13	71	442
14	73	415
15	74	392
16	75	370
17	77	352
18	78	334
19	79	319
20	81	304
21	82	291
22	83	279
23	84	268
24	85	255
25	86	246
26	87	237
27	88	228
28	89	219
29	91	213
30	92	206
31	93	199
32	95	193
33	96	187
34	96	179
35	98	174
36	98	167
37	99	162
38	100	156
39	101	151
40	102	147
41	103	143
42	103	137
43	105	134
44	106	130
45	107	126
46	109	123
47	110	119
48	111	116
49	113	113
50	114	110
51	116	107
52	117	103
53	117	100
54	118	97
55	120	94
56	121	91
57	122	88
58	124	86
59	125	83
60	126	81
61	128	78
62	129	76
63	130	73
64	131	70
65	132	68
66	134	66
67	135	63
68	135	60
69	136	58
70	138	56
71	139	54
72	140	52
73	142	49
74	143	47
75	144	45
76	145	43
77	147	41
78	148	39
79	149	37
80	151	35
81	152	33
82	153	31
83	155	29
84	156	27
85	157	25
86	159	23
87	160	21
88	161	19
89	163	18
90	164	16
91	165	14
92	166	12
93	168	10
94	169	8
95	170	7
96	171	5
97	173	3
98	174	1
99	176	0
